x,E,N,z,base_h,base_z
11.99478143,255015.6019,4208455.351,3783.751221,35.45512839,3748.296093
12.0245685,255015.5744,4208455.34,3783.759033,35.44559693,3748.313436
12.05435557,255015.5469,4208455.328,3783.766602,35.43606548,3748.330537
12.08414263,255015.5195,4208455.317,3783.776855,35.42653403,3748.350321
12.1139297,255015.492,4208455.305,3783.784424,35.41700258,3748.367421
12.14371677,255015.4646,4208455.294,3783.797119,35.40747112,3748.389648
12.17350384,255015.4371,4208455.282,3783.804688,35.39793967,3748.406748
12.20329091,255015.4097,4208455.27,3783.813721,35.38840822,3748.425313
12.23307798,255015.3822,4208455.259,3783.827881,35.37887676,3748.449004
12.26286504,255015.3548,4208455.247,3783.837891,35.36934531,3748.468546
12.29265211,255015.3273,4208455.236,3783.853027,35.35981386,3748.493213
12.32243918,255015.2999,4208455.224,3783.863281,35.35028241,3748.512999
12.35222625,255015.2724,4208455.213,3783.881592,35.34075095,3748.540841
12.38201332,255015.245,4208455.201,3783.892578,35.3312195,3748.561358
12.41180038,255015.2175,4208455.19,3783.902588,35.32168805,3748.5809
12.44158745,255015.1901,4208455.178,3783.92041,35.3121566,3748.608253
12.47137452,255015.1626,4208455.166,3783.930908,35.30262515,3748.628283
12.50116159,255015.1352,4208455.155,3783.948975,35.29309369,3748.655881
12.53094866,255015.1077,4208455.143,3783.956543,35.28356224,3748.672981
12.56073573,255015.0803,4208455.132,3783.973145,35.27403079,3748.699114
12.59052279,255015.0528,4208455.12,3783.981201,35.26449934,3748.716702
12.62030986,255015.0253,4208455.109,3783.98584,35.25496788,3748.730872
12.65009693,255014.9979,4208455.097,3784,35.24543643,3748.754564
12.679884,255014.9704,4208455.086,3784.004395,35.23590498,3748.76849
12.70967107,255014.943,4208455.074,3784.016846,35.22637352,3748.790472
12.73945813,255014.9155,4208455.062,3784.02002,35.21684207,3748.803178
12.7692452,255014.8881,4208455.051,3784.022217,35.20731062,3748.814906
12.79903227,255014.8606,4208455.039,3784.032715,35.19777917,3748.834936
12.82881934,255014.8332,4208455.028,3784.034668,35.18824771,3748.84642
12.85860641,255014.8057,4208455.016,3784.04248,35.17871626,3748.863764
12.88839348,255014.7783,4208455.005,3784.044189,35.16918481,3748.875004
12.91818054,255014.7508,4208454.993,3784.050781,35.15965336,3748.891128
12.94796761,255014.7234,4208454.982,3784.051514,35.1501219,3748.901392
12.97775468,255014.6959,4208454.97,3784.052734,35.14059045,3748.912144
13.00754175,255014.6685,4208454.958,3784.059082,35.131059,3748.928023
13.03732882,255014.641,4208454.947,3784.059082,35.12152754,3748.937554
13.06711588,255014.6136,4208454.935,3784.063965,35.11199609,3748.951969
13.09690295,255014.5861,4208454.924,3784.063232,35.10246464,3748.960767
13.12669002,255014.5586,4208454.912,3784.067627,35.09293319,3748.974694
13.15647709,255014.5312,4208454.901,3784.067139,35.08340173,3748.983737
13.18626416,255014.5037,4208454.889,3784.067139,35.07387028,3748.993269
13.21605123,255014.4763,4208454.877,3784.070557,35.06433883,3749.006218
13.24583829,255014.4488,4208454.866,3784.070313,35.05480738,3749.015506
13.27562536,255014.4214,4208454.854,3784.07373,35.04527592,3749.028454
13.30541243,255014.3939,4208454.843,3784.073486,35.03574447,3749.037742
13.3351995,255014.3665,4208454.831,3784.077148,35.02621302,3749.050935
13.36498657,255014.339,4208454.82,3784.076904,35.01668156,3749.060222
13.39477363,255014.3116,4208454.808,3784.076904,35.00715011,3749.069754
13.4245607,255014.2841,4208454.797,3784.07959,34.99761866,3749.081971
13.45434777,255014.2567,4208454.785,3784.079346,34.98808721,3749.091259
13.48413484,255014.2292,4208454.773,3784.081787,34.97855575,3749.103231
13.51392191,255014.2018,4208454.762,3784.081787,34.9690243,3749.112763
13.54370898,255014.1743,4208454.75,3784.081787,34.95949285,3749.122294
13.57349604,255014.1469,4208454.739,3784.084229,34.9499614,3749.134268
